row,col,nReadouts,nHits,disable
30,29,557,1957,2
8,14,199,184,2
18,13,139,142,2
14,11,115,117,2
18,31,107,107,2
33,20,67,61,2
25,15,62,62,2
26,32,56,54,2
14,27,53,51,2
26,29,45,46,2
18,18,35,33,2
11,14,32,30,2
24,28,31,31,2
0,28,17,15,2
22,22,16,15,2
7,25,14,13,2
18,14,11,10,2
16,34,10,9,1
27,17,10,10,2
34,10,10,9,1
17,31,9,9,0
4,16,8,6,0
8,6,8,8,0
3,26,7,7,0
16,22,6,6,0
3,12,5,4,0
22,27,5,5,0
32,19,5,5,0
15,28,5,4,0
4,26,4,4,0
30,16,4,4,0
17,18,4,4,0
29,28,3,2,0
3,4,3,3,0
22,31,3,2,0
17,5,3,3,0
26,5,3,3,0
15,22,3,3,0
15,6,3,3,0
11,16,3,2,0
21,33,3,3,0
34,18,2,2,0
23,30,2,2,0
34,12,2,2,0
27,16,2,2,0
21,19,2,2,0
22,6,2,2,0
34,28,2,2,0
15,19,2,2,0
7,5,2,2,0
18,17,2,2,0
18,8,2,2,0
16,8,2,2,0
13,23,2,2,0
15,12,1,1,0
5,14,1,1,0
5,24,1,1,0
33,26,1,1,0
8,17,1,1,0
8,19,1,1,0
11,5,1,1,0
30,17,1,0,0
12,20,1,1,0
29,18,1,1,0
21,22,1,1,0
15,17,1,1,0
21,3,1,1,0
16,6,1,1,0
26,20,1,1,0
16,13,1,1,0
17,34,1,1,0
24,23,1,1,0
23,31,1,1,0
18,12,1,1,0
22,25,1,1,0
19,6,1,1,0
19,15,1,1,0
0,18,1,1,0
