row,col,nReadouts,nHits,disable
11,16,563,1412,2
3,4,562,1682,2
7,24,561,1491,2
18,17,561,1522,2
17,31,561,1575,2
16,6,558,1666,2
15,28,557,1621,2
23,30,557,2074,2
15,22,556,1631,2
34,18,553,1458,2
34,28,552,1337,2
4,26,551,2752,2
18,5,550,1235,2
0,18,547,1096,2
16,8,545,1308,2
8,6,544,2235,2
13,23,542,1214,2
30,16,537,3295,2
22,31,536,1232,2
34,12,533,3391,2
21,19,531,1074,2
8,29,530,2569,2
3,26,530,1115,2
17,18,528,3047,2
0,28,525,997,2
14,3,517,1002,2
29,18,508,946,2
11,5,507,3451,2
20,6,502,1000,2
22,22,501,3400,2
5,14,496,912,2
21,22,491,3537,2
12,10,491,884,2
17,5,486,849,2
8,32,485,3509,2
8,14,484,3953,2
19,6,482,807,2
17,20,479,847,2
22,27,476,4071,2
25,15,475,4120,2
11,26,473,837,2
19,15,473,791,2
34,22,471,745,2
25,29,468,771,2
26,5,466,4424,2
7,25,464,581,2
25,6,463,758,2
5,9,457,727,2
13,5,451,736,2
13,20,449,677,2
8,17,442,689,2
2,24,441,684,2
15,6,440,672,2
31,6,439,627,2
27,26,438,708,2
21,33,428,613,2
15,32,421,624,2
32,19,417,643,2
16,11,414,616,2
15,17,412,5585,2
18,14,407,583,2
29,28,401,5601,2
20,15,397,582,2
10,21,395,548,2
23,17,395,532,2
4,32,389,563,2
26,20,386,556,2
25,16,386,546,2
16,24,385,548,2
4,16,384,4291,2
15,5,382,559,2
24,28,379,5823,2
15,20,371,518,2
12,20,366,486,2
33,14,361,489,2
30,17,361,475,2
8,19,354,478,2
26,32,350,6753,2
27,17,341,7421,2
16,34,339,480,2
27,16,338,7067,2
17,34,333,429,2
22,3,329,427,2
6,4,327,427,2
18,13,325,413,2
1,27,325,417,2
7,5,318,413,2
27,8,314,410,2
8,27,312,390,2
33,20,309,5572,2
27,33,306,404,2
16,23,294,370,2
21,16,294,385,2
3,12,292,9377,2
22,6,286,330,2
14,27,277,9238,2
3,23,276,326,2
18,8,274,341,2
23,31,274,342,2
1,8,273,318,2
15,19,271,338,2
28,4,268,327,2
14,31,267,311,2
33,10,267,325,2
9,31,264,302,2
21,17,264,314,2
27,11,258,322,2
16,27,258,313,2
30,25,255,302,2
22,19,254,296,2
16,10,248,298,2
5,16,246,278,2
9,18,244,298,2
10,27,244,284,2
24,18,241,282,2
15,34,241,285,2
11,30,238,290,2
22,24,229,259,2
24,23,229,270,2
1,6,227,272,2
4,27,226,272,2
26,29,222,10361,2
19,12,219,254,2
25,7,217,243,2
14,7,208,234,2
5,25,205,225,2
17,33,203,233,2
5,6,199,233,2
0,12,199,211,2
32,22,198,229,2
14,8,197,223,2
16,22,194,10763,2
20,31,192,211,2
19,22,192,217,2
18,18,189,2305,2
2,21,187,205,2
15,12,176,194,2
27,20,171,178,2
7,32,167,179,2
34,26,166,183,2
12,26,165,168,2
18,22,163,188,2
12,22,163,188,2
8,20,162,179,2
5,24,161,180,2
18,31,158,13966,2
33,30,158,173,2
11,14,156,168,2
23,5,156,159,2
19,4,156,170,2
21,34,153,158,2
12,14,151,164,2
22,28,150,158,2
14,9,147,167,2
17,25,145,156,2
6,3,140,146,2
22,4,140,153,2
3,16,138,147,2
26,26,137,154,2
12,23,137,153,2
7,16,136,148,2
21,32,135,141,2
33,7,132,146,2
16,20,132,149,2
15,16,132,142,2
23,12,132,139,2
33,33,128,136,2
22,25,126,129,2
29,27,125,116,2
3,32,125,132,2
14,34,124,132,2
13,17,123,136,2
32,26,122,128,2
32,18,122,141,2
22,7,117,120,2
25,30,117,121,2
33,16,116,127,2
13,6,116,121,2
27,21,114,121,2
26,25,114,118,2
9,20,113,120,2
11,8,112,116,2
12,15,111,112,2
19,21,108,121,2
25,27,107,111,2
31,25,106,99,2
23,7,103,106,2
31,19,103,104,2
17,17,103,114,2
24,25,102,102,2
6,24,102,106,2
11,22,101,107,2
14,11,99,17475,2
16,32,99,104,2
3,10,99,85,2
18,15,98,103,2
34,10,94,13428,2
33,3,92,96,2
17,8,91,93,2
30,9,87,89,2
22,23,84,85,2
27,6,84,92,2
3,5,84,87,2
14,22,83,85,2
19,5,83,88,2
29,26,82,85,2
10,25,82,84,2
1,25,81,83,2
7,28,81,85,2
30,29,81,3413,2
2,27,81,86,2
18,12,78,85,2
5,33,78,74,2
15,24,77,81,2
17,23,77,82,2
17,24,76,82,2
34,3,76,83,2
10,15,75,74,2
0,14,75,75,2
21,27,75,74,2
3,8,75,76,2
17,26,74,78,2
10,4,74,74,2
25,24,73,73,2
2,14,73,78,2
5,23,71,76,2
33,15,70,69,2
5,7,70,72,2
31,9,70,88,2
19,13,69,71,2
1,10,69,70,2
8,18,69,68,2
33,26,69,1716,2
32,14,68,68,2
13,7,68,71,2
7,3,68,69,2
24,11,68,70,2
25,11,67,67,2
12,9,66,70,2
34,31,65,66,2
2,23,64,67,2
21,13,64,59,2
18,3,63,68,2
3,20,63,66,2
34,27,63,65,2
5,10,63,59,2
16,12,62,62,2
11,11,62,66,2
12,30,61,62,2
7,7,61,61,2
13,32,60,61,2
13,19,60,61,2
16,16,59,63,2
13,30,58,61,2
24,7,58,55,2
10,13,58,63,2
12,19,57,52,2
8,9,56,57,2
31,34,56,57,2
1,30,56,60,2
24,32,55,54,2
26,15,54,53,2
29,13,53,55,2
24,16,53,55,2
17,32,53,51,2
20,11,52,55,2
22,16,52,54,2
13,12,52,51,2
30,13,51,54,2
18,4,51,52,2
18,16,51,51,2
17,19,50,51,2
26,10,50,50,2
12,6,50,52,2
13,10,49,51,2
31,7,49,51,2
13,26,48,51,2
7,20,47,47,2
25,3,47,49,2
6,27,46,43,2
27,34,46,46,2
23,10,46,49,2
9,17,45,44,2
13,24,45,46,2
19,19,45,44,2
20,3,45,43,2
8,8,45,45,2
23,28,44,42,2
11,33,43,47,2
5,20,43,44,2
1,20,43,43,2
5,17,42,43,2
0,10,42,42,2
15,3,41,40,2
7,17,41,40,2
9,5,40,40,2
30,4,40,38,2
4,6,40,41,2
14,10,40,41,2
16,19,39,39,2
32,7,39,39,2
31,12,39,39,2
30,14,37,38,2
10,17,35,35,2
27,4,35,36,2
26,30,35,36,2
15,31,35,35,2
31,29,34,36,2
21,25,34,34,2
16,30,34,33,2
8,10,34,33,2
25,28,33,34,2
7,4,32,33,2
0,9,32,31,2
19,25,31,35,2
19,27,30,30,2
30,26,30,30,2
23,16,30,30,2
8,28,30,29,2
9,3,30,31,2
24,34,30,32,2
13,27,30,30,2
32,5,29,30,2
24,13,28,28,2
11,21,28,28,2
22,13,28,27,2
6,33,28,28,2
24,20,27,27,2
5,21,27,27,2
20,32,27,27,2
29,9,26,25,2
3,21,26,26,2
33,31,26,25,2
5,29,26,26,2
13,34,26,27,2
21,3,26,26,2
2,5,25,25,2
2,3,25,27,2
11,29,25,26,2
11,7,25,25,2
34,15,25,24,2
18,23,24,25,2
21,11,24,24,2
13,3,24,24,2
32,33,24,24,2
28,13,23,24,2
28,5,23,23,2
29,34,22,22,2
1,4,22,22,2
10,18,22,21,2
2,20,22,23,2
19,10,21,20,2
6,6,21,22,2
34,5,21,21,2
30,23,21,21,2
28,33,21,21,2
24,33,21,21,2
6,17,21,21,2
33,12,21,21,2
31,30,21,21,2
16,5,21,22,2
14,13,20,19,2
28,16,20,20,2
21,12,20,19,2
4,20,20,20,2
29,23,20,20,2
33,19,19,19,2
22,26,19,17,2
5,12,19,18,2
2,17,19,19,2
23,23,19,20,2
26,14,19,20,2
25,34,19,16,2
30,20,19,19,2
27,32,18,19,2
3,31,18,18,2
16,17,18,18,2
15,8,18,17,2
11,15,18,18,2
28,6,18,18,2
30,11,18,18,2
20,19,18,18,2
29,31,18,17,2
5,30,18,17,2
7,30,17,17,2
22,8,17,16,2
3,29,17,17,2
28,3,17,19,2
28,15,17,18,2
19,31,17,17,2
16,9,16,15,2
27,7,16,16,2
8,23,16,14,2
33,17,16,16,2
16,26,16,16,2
29,21,16,15,2
11,17,16,16,2
23,15,15,15,2
34,11,15,14,2
34,33,15,13,2
10,23,15,15,2
13,8,15,15,2
