row,col,nReadouts,nHits,disable
3,27,15,15,2
6,10,15,15,2
15,9,14,13,2
0,24,14,14,2
10,19,14,11,2
9,10,14,13,2
16,15,14,14,2
19,3,14,14,2
31,4,14,13,2
1,22,14,14,2
5,8,14,14,2
24,19,14,14,2
29,8,14,15,2
4,21,14,14,2
21,4,13,13,2
14,17,13,13,2
23,32,13,13,2
10,22,13,12,2
14,4,13,13,2
25,4,13,13,2
15,23,13,14,2
4,13,13,13,2
6,22,13,13,2
34,19,13,14,2
0,22,13,11,2
27,5,13,11,2
2,25,12,12,2
7,11,12,13,2
2,7,12,10,2
29,7,12,12,2
23,9,12,12,2
3,9,12,40,2
30,8,12,11,2
13,31,12,12,2
34,29,12,12,2
30,34,12,12,2
18,6,12,12,2
6,14,11,11,2
31,10,11,11,2
11,19,11,11,2
34,24,11,10,2
30,5,11,11,2
2,9,11,11,2
29,4,11,11,2
18,21,10,10,2
12,29,10,9,1
20,28,10,10,2
2,26,10,10,2
32,30,10,9,1
14,30,10,10,2
14,26,10,10,2
4,14,10,10,2
20,16,10,10,2
4,11,10,10,2
24,29,10,10,2
31,5,10,10,2
3,6,10,10,2
10,14,10,10,2
13,29,9,9,0
14,19,9,9,0
25,32,9,8,0
25,13,9,9,0
28,25,9,9,0
12,3,9,8,0
22,9,9,9,0
30,7,9,9,0
8,31,9,9,0
13,4,9,9,0
3,14,9,9,0
24,5,9,9,0
4,25,9,7,0
18,10,9,9,0
0,15,9,8,0
0,17,9,7,0
2,10,8,8,0
2,29,8,8,0
18,25,8,8,0
7,13,8,8,0
29,17,8,8,0
0,20,8,6,0
10,6,8,8,0
10,31,8,8,0
15,27,8,8,0
19,23,8,9,0
9,14,7,7,0
4,9,7,7,0
9,28,7,7,0
7,33,7,6,0
12,7,7,7,0
14,18,7,7,0
10,5,7,7,0
14,15,7,7,0
33,21,7,7,0
1,28,7,7,0
24,22,7,7,0
29,6,7,7,0
8,25,7,7,0
21,7,7,7,0
19,28,7,7,0
13,25,7,7,0
3,13,7,7,0
14,32,6,6,0
33,13,6,6,0
9,34,6,6,0
18,20,6,6,0
1,11,6,6,0
7,26,6,6,0
25,19,6,6,0
29,15,6,5,0
18,28,6,6,0
14,33,6,6,0
30,30,6,6,0
33,9,6,6,0
3,30,5,5,0
11,23,5,5,0
34,4,5,5,0
26,17,5,5,0
9,25,5,5,0
21,18,5,5,0
30,24,5,5,0
17,28,5,5,0
25,5,5,5,0
19,7,5,5,0
32,15,5,5,0
14,24,5,5,0
28,22,5,5,0
28,20,5,5,0
13,22,5,5,0
29,10,5,5,0
12,33,5,5,0
7,31,5,4,0
20,27,5,5,0
20,26,5,5,0
27,18,5,5,0
5,26,5,5,0
27,12,5,5,0
18,32,5,5,0
34,23,4,4,0
19,17,4,4,0
4,28,4,4,0
26,7,4,4,0
33,6,4,4,0
28,10,4,3,0
28,11,4,4,0
4,17,4,4,0
30,28,4,4,0
5,15,4,4,0
9,11,4,4,0
15,21,4,4,0
31,3,4,4,0
32,16,4,3,0
32,20,4,4,0
20,10,4,4,0
11,34,4,4,0
24,17,4,3,0
20,24,4,4,0
20,22,4,3,0
16,7,4,4,0
32,3,4,4,0
20,30,4,4,0
22,17,4,2,0
10,24,4,4,0
32,21,4,4,0
16,25,4,4,0
10,20,4,4,0
13,13,4,4,0
11,32,3,3,0
25,8,3,3,0
6,21,3,3,0
17,22,3,3,0
5,3,3,3,0
0,19,3,3,0
32,8,3,3,0
15,18,3,3,0
28,27,3,3,0
6,11,3,3,0
27,19,3,3,0
12,11,3,3,0
27,30,3,3,0
32,23,3,3,0
12,25,3,3,0
7,21,3,3,0
18,9,3,3,0
19,9,3,3,0
34,25,3,3,0
29,3,3,3,0
13,28,3,3,0
25,14,3,3,0
10,12,3,3,0
1,16,3,3,0
33,28,3,3,0
33,24,3,3,0
10,30,3,3,0
3,33,3,3,0
31,8,3,3,0
20,20,3,3,0
19,16,3,3,0
32,29,3,3,0
31,11,3,2,0
17,9,3,3,0
9,19,3,3,0
31,24,3,3,0
17,11,3,3,0
17,12,3,3,0
24,6,3,3,0
6,16,3,3,0
2,15,2,2,0
2,16,2,2,0
2,6,2,2,0
28,34,2,2,0
32,31,2,2,0
32,25,2,2,0
33,4,2,2,0
29,14,2,2,0
32,24,2,2,0
29,16,2,2,0
6,13,2,2,0
2,34,2,2,0
3,3,2,2,0
31,32,2,2,0
2,4,2,2,0
33,18,2,2,0
31,21,2,2,0
30,21,2,2,0
1,23,2,2,0
33,34,2,2,0
33,32,2,2,0
5,5,2,2,0
0,3,2,2,0
11,31,2,2,0
9,9,2,2,0
26,23,2,2,0
17,4,2,1,0
26,3,2,2,0
13,16,2,2,0
16,21,2,2,0
10,7,2,2,0
25,22,2,2,0
25,17,2,2,0
16,14,2,2,0
20,5,2,2,0
11,4,2,2,0
20,17,2,2,0
24,15,2,2,0
20,25,2,2,0
15,26,2,2,0
24,14,2,2,0
11,24,2,2,0
23,27,2,2,0
23,20,2,2,0
23,11,2,2,0
12,13,2,2,0
12,16,2,2,0
23,6,2,2,0
19,11,2,2,0
9,29,2,2,0
23,3,2,2,0
8,21,2,2,0
17,30,2,2,0
0,4,2,2,0
9,4,2,2,0
7,6,2,2,0
18,19,2,2,0
18,33,2,2,0
6,32,2,2,0
7,19,2,2,0
8,3,2,2,0
6,26,2,2,0
7,23,2,2,0
18,7,2,2,0
27,15,2,2,0
28,23,2,2,0
8,33,2,2,0
17,14,2,2,0
32,32,1,1,0
15,14,1,1,0
32,28,1,1,0
22,14,1,1,0
20,29,1,0,0
0,16,1,1,0
15,25,1,1,0
21,23,1,1,0
21,20,1,1,0
0,13,1,1,0
22,10,1,1,0
21,24,1,1,0
32,34,1,1,0
0,8,1,1,0
14,21,1,1,0
21,28,1,1,0
34,14,1,1,0
15,29,1,1,0
1,26,1,1,0
0,21,1,1,0
19,8,1,1,0
34,9,1,1,0
34,8,1,1,0
34,6,1,1,0
0,26,1,1,0
17,3,1,1,0
16,31,1,1,0
1,12,1,1,0
16,29,1,1,0
34,17,1,1,0
17,15,1,1,0
1,18,1,1,0
19,32,1,1,0
1,19,1,1,0
19,33,1,1,0
34,20,1,1,0
18,30,1,1,0
18,29,1,1,0
20,7,1,1,0
15,33,1,1,0
1,24,1,1,0
28,26,1,0,0
12,21,1,1,0
4,12,1,1,0
30,18,1,1,0
9,22,1,1,0
26,16,1,1,0
30,15,1,1,0
4,19,1,1,0
9,16,1,1,0
26,22,1,1,0
9,13,1,1,0
9,12,1,1,0
27,3,1,0,0
30,3,1,1,0
27,14,1,1,0
29,22,1,1,0
7,34,1,1,0
29,20,1,1,0
29,19,1,1,0
27,22,1,1,0
27,28,1,1,0
27,31,1,1,0
7,15,1,1,0
29,11,1,1,0
28,14,1,1,0
28,17,1,1,0
29,5,1,1,0
28,18,1,1,0
26,11,1,1,0
9,32,1,1,0
23,4,1,1,0
30,27,1,1,0
2,18,1,1,0
12,18,1,1,0
23,8,1,1,0
23,14,1,1,0
23,25,1,1,0
28,24,1,1,0
11,27,1,1,0
23,33,1,1,0
24,9,1,1,0
24,10,1,1,0
11,18,1,1,0
31,20,1,1,0
3,18,1,1,0
31,18,1,1,0
11,6,1,1,0
10,33,1,0,0
10,32,1,1,0
24,26,1,1,0
4,4,1,1,0
24,31,1,1,0
10,29,1,1,0
10,9,1,1,0
30,32,1,1,0
25,21,1,1,0
4,7,1,1,0
26,33,1,1,0
